"","TraitName","AccSpeciesName","OrigValueStr","OrigUnitStr","StdValue","UnitName"
"253","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","1.77","%",17.7,"mg/g"
"254","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","8.96","per mill",8.96,"per mill"
"255","","Chimarrhis turbinata","9.5","",NA,""
"256","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-0.54","per mill",-0.54,"per mill"
"257","","Chimarrhis turbinata","Ometto","",NA,""
"258","","Chimarrhis turbinata","-54.96","",-54.96,""
"259","","Chimarrhis turbinata","-2.86","",-2.86,""
"260","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"261","","Chimarrhis turbinata","4.95300007","",NA,""
"262","","Chimarrhis turbinata","25.952225","C",NA,""
"263","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"264","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"265","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","1.91","%",19.1,"mg/g"
"266","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.51","per mill",7.51,"per mill"
"267","","Chimarrhis turbinata","9.5","",NA,""
"268","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.99","per mill",-1.99,"per mill"
"269","","Chimarrhis turbinata","Ometto","",NA,""
"270","","Chimarrhis turbinata","-54.96","",-54.96,""
"271","","Chimarrhis turbinata","-2.86","",-2.86,""
"272","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"273","","Chimarrhis turbinata","4.95300007","",NA,""
"274","","Chimarrhis turbinata","25.952225","C",NA,""
"275","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"276","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"277","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.08","%",20.8,"mg/g"
"278","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.57","per mill",7.57,"per mill"
"279","","Chimarrhis turbinata","9.5","",NA,""
"280","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.93","per mill",-1.93,"per mill"
"281","","Chimarrhis turbinata","Ometto","",NA,""
"282","","Chimarrhis turbinata","-54.96","",-54.96,""
"283","","Chimarrhis turbinata","-2.86","",-2.86,""
"284","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"285","","Chimarrhis turbinata","4.95300007","",NA,""
"286","","Chimarrhis turbinata","25.952225","C",NA,""
"287","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"288","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"289","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.15","%",21.5,"mg/g"
"290","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","8.73","per mill",8.73,"per mill"
"291","","Chimarrhis turbinata","9.5","",NA,""
"292","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-0.77","per mill",-0.77,"per mill"
"293","","Chimarrhis turbinata","Ometto","",NA,""
"294","","Chimarrhis turbinata","-54.96","",-54.96,""
"295","","Chimarrhis turbinata","-2.86","",-2.86,""
"296","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"297","","Chimarrhis turbinata","4.95300007","",NA,""
